name,github,type,source
Seattle Times,https://github.com/seattletimes,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Tampa Bay Times,https://github.com/tbtimes,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Texas Tribune,https://github.com/texastribune,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Time Magazine,https://github.com/TimeMagazine,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Wall Street Journal,https://github.com/WSJ,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Washington Post,https://github.com/washingtonpost,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Vermont Public Radio,https://github.com/vprnet,newsorg-nonprofit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Vox Media,https://github.com/voxmedia,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
WBUR Learning Lab,https://github.com/LearningLab,newsorg-nonprofit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
WRAL Data Desk,https://github.com/wraldata,newsorg-nonprofit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
WNYC DataNews,https://github.com/datanews,newsorg-nonprofit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
YLE (Finnish National Broadcaster),https://github.com/Yleisradio,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Zeit Online,https://github.com/ZeitOnline,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Census Reporter,https://github.com/censusreporter,project,https://github.com/kleinmatic/open-journalism/blob/master/README.md
DataMade,https://github.com/datamade,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
DataWrapper,https://github.com/datawrapper,project,https://github.com/kleinmatic/open-journalism/blob/master/README.md
DocumentCloud,https://github.com/documentcloud,project,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Freedom of the Press Foundation,https://github.com/freedomofpress,nonprofit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Github's Journalism Showcases,https://github.com/showcases/open-journalism,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
